method,scenario,simulation,speed,runs,mean_error,std_error,mean_search_time,std_search_time
PMFS,House11,"1-2,3_fast",fast,5,0.600261,0.025429,84.558506,3.496001
PMFS,House11,"1-2,3_slow",slow,5,1.103018,0.171394,114.646239,4.495565
PMFS,House11,3-2_fast,fast,5,0.809481,0.150046,89.996864,2.940523
PMFS,House11,3-2_slow,slow,5,0.783461,0.089047,107.252985,9.182465
PMFS,House12,"4,6-1_fast",fast,5,0.793079,0.136370,90.087554,3.483815
PMFS,House12,"4,6-1_slow",slow,5,1.009666,0.104532,96.588377,6.135486
PMFS,House12,"6,7-1_fast",fast,5,0.690238,0.087206,79.644333,1.617176
PMFS,House12,"6,7-1_slow",slow,5,0.991203,0.175570,102.600686,7.124077
PMFS,House13,"1,3-6_fast",fast,5,1.328155,0.216830,89.008052,3.945324
PMFS,House13,"1,3-6_slow",slow,5,1.595413,0.160643,92.009300,4.954318
PMFS,House13,"2,3-4,6_fast",fast,5,0.793851,0.133563,77.277343,0.284269
PMFS,House13,"2,3-4,6_slow",slow,5,0.872946,0.143479,85.935973,4.122975
PMFS,House14,"1,2-4,5_fast",fast,5,1.301962,0.251070,77.876883,0.671104
PMFS,House14,"1,2-4,5_slow",slow,5,1.107434,0.266402,81.039754,2.162021
PMFS,House14,"3,4-2,6_fast",fast,5,1.328212,0.288632,80.223598,1.555823
PMFS,House14,"3,4-2,6_slow",slow,5,2.342331,0.144217,91.237879,6.186915
PMFS,House15,"1,2-3,4_fast",fast,5,1.204673,0.246121,77.434766,0.564007
PMFS,House15,"1,2-3,4_slow",slow,5,1.644290,0.268367,87.604390,4.267112
PMFS,House15,"3-1,2_fast",fast,5,1.220678,0.196696,77.313295,0.815691
PMFS,House15,"3-1,2_slow",slow,5,1.992721,0.277859,83.430067,3.244824
PMFS,House16,"1,2-4,5,6_fast",fast,5,0.757510,0.064056,77.076925,0.447439
PMFS,House16,"1,2-4,5,6_slow",slow,5,1.694207,0.331746,97.244433,4.535303
PMFS,House16,"3,4,5-2_fast",fast,5,1.305521,0.246866,82.044851,1.710404
PMFS,House16,"3,4,5-2_slow",slow,5,1.226464,0.181976,81.827064,3.190073
PMFS,House17,"3,6-1_fast",fast,5,1.180464,0.179771,96.472622,5.559719
PMFS,House17,"3,6-1_slow",slow,5,1.035470,0.259708,92.561069,5.641191
PMFS,House17,"4,6-1,2_fast",fast,5,0.617479,0.023235,80.224670,1.878001
PMFS,House17,"4,6-1,2_slow",slow,5,0.843739,0.160649,100.950295,6.238975
PMFS,House18,"1,2-4,5_fast",fast,5,0.683720,0.062127,103.970361,6.058046
PMFS,House18,"1,2-4,5_slow",slow,5,0.865132,0.155797,124.182221,8.258931
PMFS,House18,"5,3-1_fast",fast,5,0.587913,0.016153,98.018305,6.675936
PMFS,House18,"5,3-1_slow",slow,5,0.645819,0.069326,115.992087,3.242984
PMFS,House19,"2,4-1,5_fast",fast,5,0.551672,0.016006,110.212078,10.527733
PMFS,House19,"2,4-1,5_slow",slow,5,0.687957,0.066907,139.318217,3.941166
PMFS,House19,"4,5-1_fast",fast,5,0.576996,0.021227,99.535076,7.043872
